,USB Connect,,,,,,,,,,,,,,,,,,,,,,,,,USB Disconnect,,,,,,,,,,,,,,,,,,,,,,,,,filecopy,,,,,,,,,,,,,,,,,,,,,,,,,logon,,,,,,,,,,,,,,,,,,,,,,,,,logoff,,,,,,,,,,,,,,,,,,,,,,,
HCL0651,0,0,0,0,0,0,3,3,3,1,1,1,4,4,4,1,1,1,3,3,3,1,1,1,HCL0651,0,0,0,0,0,0,3,3,3,1,1,1,4,4,4,1,1,1,3,3,3,1,1,1,HCL0651,0,0,0,0,0,0,7,7,7,1,1,1,8,8,8,1,1,1,11,11,11,1,1,1,HCL0651,0,0,0,0,0,0,2,1,0,1,0,0,2,2,1,1,1,0,1,1,1,1,1,1,HCL0651,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,2,1,1,1,0,0
SCP0130,0,0,0,0,0,0,4,4,4,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,SCP0130,0,0,0,0,0,0,3,3,3,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,SCP0130,0,0,0,0,0,0,13,13,13,1,1,1,11,11,11,1,1,1,7,7,7,7,7,7,SCP0130,0,0,0,0,0,0,2,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,SCP0130,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,0,0,2,1,1,1,0,0
RSC0089,0,0,0,0,0,0,9,9,9,4,4,4,10,10,10,4,4,4,4,4,4,1,1,1,RSC0089,0,0,0,0,0,0,9,9,9,4,4,4,10,10,10,4,4,4,4,4,4,1,1,1,RSC0089,0,0,0,0,0,0,9,9,9,1,1,1,11,11,11,1,1,1,4,4,4,1,1,1,RSC0089,1,1,1,1,1,1,3,2,1,1,0,0,3,3,2,1,1,0,1,1,1,1,1,1,RSC0089,1,1,1,1,1,1,2,2,1,1,1,0,3,2,2,1,0,0,1,1,0,1,1,0
CCM0136,0,0,0,0,0,0,2,2,2,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,CCM0136,0,0,0,0,0,0,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,CCM0136,0,0,0,0,0,0,7,7,7,1,1,1,6,6,6,1,1,1,0,0,0,0,0,0,CCM0136,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,1,1,1,1,1,1,CCM0136,0,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,0,2,1,1,1,0,0
MSD0939,0,0,0,0,0,0,0,0,1.25,0,0,1,0,0,0.5,0,0,0.25,0,0,0,0,0,0,MSD0939,0,0,0,0,0,0,0,0,1.25,0,0,1,0,0,0.5,0,0,0.25,0,0,0.25,0,0,0.25,MSD0939,0,0,0,0,0,0,0,0,5.75,0,0,1,0,0,1.25,0,0,0.25,0,0,0,0,0,0,MSD0939,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,MSD0939,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1.25,0,1,1
KSP0357,0,0,1,0,0,0.25,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,KSP0357,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,KSP0357,0,0,4,0,0,0.25,0,0,3.5,0,0,0.25,0,0,3,0,0,0.25,0,0,6.5,0,0,2.25,KSP0357,4,0,1,1,0,0,4,0,1,1,0,0,3,0,0,1,0,0,5,0,0,1,0,0,KSP0357,4,0,1,1,0,0,3,0,0.25,1,0,0,4,1,0,1,0,0,5,0,0,1,0,0
VCC0396,0,0,0,0,0,0,4,4,4,1,1,1,4,4,4,1,1,1,3,3,3,1,1,1,VCC0396,0,0,0,0,0,0,4,4,4,1,1,1,4,4,4,1,1,1,3,3,3,1,1,1,VCC0396,0,0,0,0,0,0,10,10,10,1,1,1,12,12,12,1,1,1,7,7,7,1,1,1,VCC0396,1,1,1,1,1,1,3,2,1,1,0,0,2,2,1,1,1,0,1,1,1,1,1,1,VCC0396,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,2,1,1,1,0,0
WDD0366,0,0,1,0,0,0.25,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,2,2,0.5,2,2,1,WDD0366,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,0.75,0,0,0.25,2,2,0.5,2,2,1,WDD0366,0,0,4,0,0,0.25,0,0,3.5,0,0,0.25,0,0,3,0,0,0.25,2,2,4.5,2,2,0.25,WDD0366,4,0,1,1,0,0,5,1,0,1,0,0,3,0,0,1,0,0,5,0,0,1,0,0,WDD0366,4,0,1,1,0,0,4,1,0.75,1,0,0,3,0,1,1,0,0,5,0,0,1,0,0
RTO0313,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,RTO0313,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,RTO0313,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,RTO0313,1,1,1,1,1,1,3,2,1,1,0,0,3,3,2,1,1,0,1,1,1,1,1,1,RTO0313,1,1,1,1,1,1,1,1,0,1,1,0,2,1,0,1,0,0,1,1,1,1,1,1
VIA0063,0,0,0,0,0,0,9,9,7,3,3,2,9,9,7,5,5,4,2,2,2,1,1,1,VIA0063,0,0,0,0,0,0,9,9,7,3,3,2,9,9,7,5,5,4,2,2,2,1,1,1,VIA0063,0,0,0,0,0,0,27,27,20.25,7,7,6,27,27,20,17,17,16,7,7,7,1,1,1,VIA0063,0,0,0,0,0,0,1,0,1.25,1,0,0,0,0.5,1.25,0,0.5,1,0,0,0,0,0,0,VIA0063,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.25,1,0,0,1,1,0,1,1,0
BIH0745,3,3,3,2,2,2,2,2,0,2,2,1,0,0,0,0,0,0,3,3,3,3,3,3,BIH0745,3,3,3,2,2,2,2,2,0,2,2,1,0,0,0,0,0,0,3,3,3,3,3,3,BIH0745,13,13,13,13,13,13,0,0,4,0,0,1,0,0,0,0,0,0,13,13,13,13,13,13,BIH0745,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,BIH0745,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1
CCW0031,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,CCW0031,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,CCW0031,0,0,0,0,0,0,0,0,6.75,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,CCW0031,0,0,0,0,0,0,1,0,1.25,1,0,0,0,0.5,1.25,0,0.5,1,0,0,0,0,0,0,CCW0031,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.25,1,0,0,0,0,1,0,0,1
LIM0674,0,0,0,0,0,0,2,2,0,1,1,0,2,2,0,1,1,0,1,1,1,1,1,1,LIM0674,0,0,0,0,0,0,2,2,0,1,1,0,2,2,0,1,1,0,1,1,1,1,1,1,LIM0674,0,0,0,0,0,0,7,7,0.75,1,1,0,8,8,0,2,2,0.25,4,4,4,3,3,3,LIM0674,1,1,0.25,1,1,0.25,3,1,0,1,0,0,2,1,0,1,0,0,1,1,0.25,1,1,0.25,LIM0674,1,1,0.25,1,1,0.25,1,1,0,1,1,0,2,1,1,1,0,0,1,0,0.75,1,0,0
WTR0563,0,0,0,0,0,0,0,0,1.25,0,0,1,0,0,0.5,0,0,0.25,0,0,0,0,0,0,WTR0563,0,0,0,0,0,0,0,0,1.25,0,0,1,0,0,0.5,0,0,0.25,0,0,0.25,0,0,0.25,WTR0563,0,0,0,0,0,0,0,0,5.75,0,0,1,0,0,1.25,0,0,0.25,0,0,0,0,0,0,WTR0563,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,WTR0563,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0.25,1,0,0
MKS0204,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,1,0,0,0.5,0,0,0.5,0,0,0.5,MKS0204,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,1,0,0,0.5,0,0,0.5,0,0,0.5,MKS0204,0,0,0,0,0,0,0,0,6,0,0,1,0,0,6,0,0,1.5,0,0,4.5,0,0,4.5,MKS0204,0,0,0.5,0,0,0.5,1,0,1,1,0,0.5,0,0,1,0,0,0.5,0,0,0.5,0,0,0.5,MKS0204,0,0,0.5,0,0,0.5,0,0,1,0,0,0.5,1,0,0.5,1,0,0,0,0,0.5,0,0,0.5
ILH0958,0,0,0,0,0,0,3,3,3,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,ILH0958,0,0,0,0,0,0,3,3,3,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,ILH0958,0,0,0,0,0,0,27,27,27,27,27,27,27,27,27,27,27,27,0,0,0,0,0,0,ILH0958,0,0,0,0,0,0,4,3,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,ILH0958,0,0,0,0,0,0,2,2,1,1,1,0,3,2,2,1,0,0,0,1,1,0,1,1
TLK0993,0,0,0,0,0,0,0,0,3.5,0,0,1,0,0,3.5,0,0,1,0,0,3.5,0,0,1,TLK0993,0,0,0,0,0,0,0,0,3.5,0,0,1,0,0,3.5,0,0,1,0,0,3.5,0,0,1,TLK0993,0,0,0,0,0,0,0,0,5,0,0,1,0,0,6.5,0,0,1,0,0,4.5,0,0,1,TLK0993,0,0,0,0,0,0,1,1,1,1,0,0,0,1,2,0,1,1,0,0,1,0,0,1,TLK0993,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0
LQC0479,6,6,6,6,6,6,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,LQC0479,6,6,6,6,6,6,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,LQC0479,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LQC0479,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,LQC0479,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1
FEB0306,0,0,0,0,0,0,2,2,2,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,FEB0306,0,0,0,0,0,0,2,2,2,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,FEB0306,0,0,0,0,0,0,10,10,10,2,2,2,12,12,12,4,4,4,11,11,11,1,1,1,FEB0306,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,1,1,1,1,1,1,FEB0306,0,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,0,2,1,1,1,0,0
IJM0776,0,0,0,0,0,0,6,6,6,1,1,1,4,4,4,1,1,1,0,0,0,0,0,0,IJM0776,0,0,0,0,0,0,5,5,5,1,1,1,4,4,4,1,1,1,0,0,0,0,0,0,IJM0776,0,0,0,0,0,0,5,5,5,1,1,1,7,7,7,2,2,2,0,0,0,0,0,0,IJM0776,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,IJM0776,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1
NKH0807,0,0,0,0,0,0,0,0,1.25,0,0,1,0,0,0.5,0,0,0.25,0,0,0,0,0,0,NKH0807,0,0,0,0,0,0,0,0,1.25,0,0,1,0,0,0.5,0,0,0.25,0,0,0.25,0,0,0.25,NKH0807,0,0,0,0,0,0,0,0,5.75,0,0,1,0,0,1.25,0,0,0.25,0,0,0,0,0,0,NKH0807,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,NKH0807,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0.25,1,0,0
JMC0925,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,JMC0925,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,JMC0925,0,0,0,0,0,0,0,0,7.75,0,0,1,0,0,8,0,0,1.75,0,0,0,0,0,0,JMC0925,1,1,0.25,1,1,0.25,3,1,0,1,0,0,2,1,0,1,0,0,1,1,0.25,1,1,0.25,JMC0925,1,1,0.25,1,1,0.25,2,2,1,1,1,0,1,0,0,1,0,0,2,1,0.25,1,0,0
SBH0537,0,0,0,0,0,0,2,2,0,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0,SBH0537,0,0,0,0,0,0,2,2,0,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0,SBH0537,0,0,0,0,0,0,12,12,5.25,2,2,1,11,11,4,3,3,2,0,0,0,0,0,0,SBH0537,0,0,0,0,0,0,2,1,0.25,1,0,0,1,0.5,0.25,1,0.5,0,0,0,0,0,0,0,SBH0537,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.25,1,0,0,1,1,0,1,1,0
HAH0760,0,0,0,0,0,0,4,4,4,1,1,1,4,4,4,1,1,1,0,0,0,0,0,0,HAH0760,0,0,0,0,0,0,4,4,4,1,1,1,4,4,4,1,1,1,0,0,0,0,0,0,HAH0760,0,0,0,0,0,0,13,13,13,2,2,2,13,13,13,2,2,2,0,0,0,0,0,0,HAH0760,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,HAH0760,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1
AHD0848,0,0,0,0,0,0,2,2,2,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,AHD0848,0,0,0,0,0,0,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,AHD0848,0,0,0,0,0,0,4,4,4,2,2,2,9,9,9,3,3,3,8,8,8,1,1,1,AHD0848,0,0,0,0,0,0,2,1,0,1,0,0,2,2,1,1,1,0,1,1,1,1,1,1,AHD0848,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,2,1,1,1,0,0
AJN0607,0,0,0,0,0,0,4,4,2,1,1,0,4,4,4,2,2,2,0,0,0,0,0,0,AJN0607,0,0,0,0,0,0,4,4,2,1,1,0,4,4,4,2,2,2,0,0,0,0,0,0,AJN0607,0,0,0,0,0,0,8,8,4,1,1,0,11,11,11,1,1,1,0,0,0,0,0,0,AJN0607,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,AJN0607,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
BBS0039,0,0,1,0,0,0.25,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,BBS0039,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,BBS0039,0,0,4,0,0,0.25,0,0,3.5,0,0,0.25,0,0,3,0,0,0.25,0,0,6.5,0,0,2.25,BBS0039,4,0,1,1,0,0,4,0,1,1,0,0,2,1,1,1,0,0,4,1,1,1,0,0,BBS0039,4,0,1,1,0,0,3,0,0.25,1,0,0,3,0,1,1,0,0,4,1,1,1,0,0
EIS0041,5,5,4,1,1,0.75,6,6,5,1,1,0.75,3,3,2.25,1,1,0.75,4,4,1.5,1,1,0,EIS0041,5,5,4,1,1,0.75,6,6,5.25,1,1,0.75,3,3,2.25,1,1,0.75,4,4,1.5,1,1,0,EIS0041,21,21,17,7,7,6.75,19,19,15.5,1,1,0.75,14,14,11,1,1,0.75,23,23,16.5,8,8,5.75,EIS0041,5,1,0,1,0,0,4,0,1,1,0,0,4,1,1,1,0,0,4,1,1,1,0,0,EIS0041,5,1,0,1,0,0,3,0,0.25,1,0,0,3,0,1,1,0,0,5,0,0,1,0,0
LJT0817,0,0,0,0,0,0,4,4,1,1,1,0,3,3,0,1,1,0,3,3,2,1,1,0,LJT0817,0,0,0,0,0,0,4,4,1,1,1,0,3,3,0,1,1,0,3,3,2,1,1,0,LJT0817,0,0,0,0,0,0,12,12,4,1,1,0,15,15,5,1,1,0,12,12,12,1,1,1,LJT0817,0,0,0,0,0,0,3,1,1,1,0,0,2,2,0,1,1,0,1,1,0,1,1,0,LJT0817,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,2,1,1,1,0,0
